Case Number,Status,Age (Days),Description,Summary,Distinct Capabilities Matched,Fit,Urgency,Priority
00005934,Pending Expert,30,"Marisa and her team are looking for support regarding modernizing and governing highly scrutinized, model-driven processes that combine automated outputs with significant manual judgment, documentation, and approvals. While CECL is one example, her interest is broader: she wants to understand how other organizations manage platforms, workflows, and governance for processes where model results are frequently adjusted through overlays, require detailed justification, and must withstand audit and regulatory review. A key pain point is the ?middle of the process?, the tooling and structure used to facilitate stakeholder discussion, track decisions, document rationale for overrides, and maintain clear approval and sign-off trails without relying on fragmented tools like emails, OneNotes, or shared drives. Marisa would value peer benchmarking and/or expert perspectives that go beyond validating the challenge and instead offer practical, real-world insights into how these processes are operationalized. She is interested in learning what platforms or approaches others are using (forms, apps, controlled spreadsheets, or workflow systems), how governance is structured, and what trade-offs exist between automation, control, and usability. The goal is to identify viable patterns that can inform her team?s approach to modernization while maintaining strong governance.",Financial services team needs to modernize model governance workflows and tooling for regulatory compliance and audit trails.,RPA / Process Automation,3,5,15
00005882,Pending Expert,205,"We are in the middle of a POC of a Knowledge Graph platform. We are exploring this due to many research/consulting engagements suggesting that KGs are the ?best? way to enable accurate Natural Language Query results by modeling semantics and attaching that to data. Are others in the RAN also exploring this? How?s it going? Is the perception still that KGs are a necessary architectural component? Especially on top of platforms like Databricks and Snowflake, which also have NLQ capabilities (but structure metadata/semantics differertly) - <CLIENT>ron would like to specifically know if the peer or expert we connect him with is using: Ask whether they use property or RDF graphs.",Organization evaluating Knowledge Graph architecture for natural language query capabilities and seeking peer insights on implementation approaches.,DataLake Architecture,3,5,15
00005820,Scheduling Offered,148,"Wendy is looking for strategic guidance on how to effectively implement self-service data capabilities for her engineering organization without increasing the burden on her data science team. Past self-service efforts proved unsustainable, as engineers often encountered roadblocks that ultimately created more work for her team. However, with improved data infrastructure and tools, Wendy sees renewed potential for self-service, so long as it?s thoughtfully scoped, well-governed, and genuinely useful. She's interested in learning how other companies have successfully operationalized self-service, including what tooling, access models, and guardrails are needed to empower engineers to explore data independently while minimizing <CLIENT>nstream support needs. Her goal is to free up her team?s capacity to focus on future-facing AI initiatives by reducing the volume of reactive requests.",Engineering leader seeking to implement sustainable self-service data capabilities with proper governance to reduce data science team burden.,DataLake Architecture,3,5,15
00005927,Exchange Scheduled,20,Email from Joe: The Strategic Performance Tracker that's mentioned in the first key result is Medical Mutual's first holistic enterprise dashboard. It's meant to incorporate a large set of KPIs from across all of our divisions. I'm also hoping to leverage this project to develop a metric registry that will be owned and maintained by our Analytics and AI Governance Committee.,Healthcare organization needs enterprise dashboard and metric registry for KPIs across divisions with AI governance component.,DataLake Architecture,3,5,15
00005785,Scheduling Offered,175,"Manoj is leading an initiative to re-architect <CLIENT>'s data warehouse in anticipation of their upcoming merger (targeted completion: January 2). The existing architecture does not account for the evolving data consumption model, particularly: -The growing use of AI/agentic models in consuming data -A more diverse user base with varying levels of data literacy -Integration of new datasets from DCU -Increasing demand for self-service access and non-SQL interfaces <CLIENT> would like input on: -Best practices for building a future-ready data warehouse architecture -Structuring the warehouse to support multi-modal data access, including dashboards, SQL, and AI agents -Strategies to bridge data literacy gaps across the newly merged user base -Recommendations for governing data onboarding from unfamiliar systems and processes Challenges: - Current architecture was not designed for agentic AI consumption or scalable user access -They need to support less-technical users who will now enter the data ecosystem post-merger -Integrating new data sources with uncertain lineage or context -Designing an architecture flexible enough to evolve with rapidly changing consumption patterns",Data warehouse re-architecture for AI agent consumption and merger integration with multi-modal access requirements.,"DataLake Architecture, AI Agents",4,3,12
00005767,Scheduling Offered,36,"<CLIENT> is currently expanding its service portfolio with a new AI Governance offering, developed in partnership with a technology provider, and is navigating how to operationalize governance, data quality, and regulatory considerations as foundational enablers of AI-driven transformation. In parallel, <CLIENT>s is focused on strengthening data literacy, treating data as a core enterprise asset, and exploring emerging agentic AI capabilities as a longer-term differentiator. Giovanni would appreciate support by providing expert and peer perspectives to validate <CLIENT>s? AI governance approach, share real-world implementation patterns, offer regulatory and architectural insights, and deliver curated research across data governance, decision intelligence, and agentic AI to accelerate both current offerings and future roadmap planning. To support this we will provide Giovanni with relevant content and highlight an couple of experts who would be a good starting place for him as he is new to the advisory network side of RAN.","Client expanding AI governance service portfolio needs validation, implementation patterns, and research on agentic AI capabilities.",AI Agents & Chatbots (agentic AI),3,4,12
00005918,Scoping,84,"<MD> asked if we could help with ""raising the bar"" in a) data engineering",Organization seeking to improve data engineering capabilities and practices.,DataLake Architecture,3,4,12
00005852,Scheduling Offered,112,"FTFCU currently has three defined types of agents in use within its financial institution- chatbots, automation agents, and insight-generating agents leveraging unstructured data- but he wants a deeper, more granular understanding of what additional agent types other financial institutions are deploying. Prior to meeting with an expert, they want a bulleted list of the additional agent types that a peer or expert has examples of. Agents from list that Misha provided that resonate with <CLIENT> team: Personal financial guidance agents 2:20 treasury and liquidity optimization 2:21 marketing and offer optimization 2:21 documentation and contract intelligence agents 2:21 vendor and third party risk agents The one that will affect them a lot has to do with infusturcture.",Financial institution with existing agents seeking to understand additional agent types being deployed by industry peers.,AI Agents & Chatbots,3,4,12
00005822,On Hold,171,"<CLIENT>ron is in the early stages of exploring a more holistic approach to Data Observability and is preparing for a POC later this year. His team is beginning to think beyond traditional pipeline monitoring to include elements like data lineage, data quality, and FinOps, aiming to build an end-to-end view of their data ecosystem. At this point, <CLIENT>ron is not looking for specific support but has flagged this as an area of strategic interest. He?s open to staying informed on how other organizations are approaching this space and would welcome future conversations once their internal thinking and needs are more clearly defined.","Early-stage exploration of comprehensive data observability including data lineage, quality monitoring, and FinOps for enterprise data ecosystem.",DataLake Architecture,3,4,12
00005916,Pending Expert,57,"<CLIENT> is driving a fast-moving Omni-Demand Generation (ODG) initiative that supports <CLIENT>?s broader 2030 strategy. The first phase of this work focuses on an internal assessment of analytics capabilities across eight priority markets (US, Brazil, Mexico, UK, France, Germany, India, and China), including data depth, optimization readiness, and existing measurement approaches. This diagnostic phase is largely internal and intended to establish a clear baseline of current-state capabilities. The primary support <CLIENT> is seeking is in the second phase: translating the capability inventory into a scalable ODG framework and actionable pilot opportunities. This includes guidance on how to structure pilots, prioritize optimization levers, and design frameworks that can scale across markets while aligning with cross-functional partners (e-commerce, commercial, and customer development). An external expert perspective would be appreciated as a strategic sounding board- helping pressure-test early thinking, shape pilot design, and accelerate the move from assessment to execution within a compressed timeline in early February.",Global enterprise needs strategic framework development and pilot design for omni-channel demand generation analytics across eight markets.,Overlap only (Data Strategy),2,5,10
00005777,Scoping,88,"Melanie is seeking support around how organizations effectively enable and govern federated AI across decentralized teams. She is interested in how companies balance central standards with local autonomy, including best practices for setting guardrails around data, models, platforms, and risk while still allowing business units to innovate. In particular, Melanie wants insight into operating models, roles and responsibilities, and enablement mechanisms- such as shared platforms, reusable assets, and centers of excellence- that help federated AI efforts scale consistently without creating bottlenecks or fragmentation.","Enterprise seeks guidance on federated AI governance, operating models, and enablement mechanisms across decentralized teams.",Overlap only,2,5,10
00005692,Pending Expert,15,"Dustin is evaluating natural language query solutions to support growing dashboard and reporting needs within a financial institution. As internal data demands expand, existing dashboards require more frequent updates, broader data access, and increased flexibility. Dustin is trying to determine how financial institutions are successfully leveraging off-the-shelf NLQ tools, specifically without creating excessive complexity or data sprawl. A key concern is managing large, messy, and highly varied financial datasets while maintaining standardization and governance. Dustin is wary of receiving guidance from non-financial organizations, as he believes their data environments may not reflect the regulatory, structural, and reporting realities of financial services. He wants insight from peers or experts within the industry who have navigated similar challenges. Primary Questions He Wants Answered Which NLQ tool was selected and why? What made it the right fit for a financial institution? What were the evaluation criteria and decision-making rationale? How effectively does the tool handle messy, complex financial datasets? How has the tool scaled as dashboard demands and business requests increased? Desired Support Connection with a financial services peer who has implemented NLQ. Industry-specific best practices and a standardized approach to vendor/tool selection. Insight that will help accelerate vendor sourcing and make the evaluation process more informed and efficient.","Financial institution evaluating natural language query tools for complex datasets, seeking peer guidance and vendor selection criteria.",Overlap only,2,5,10
00005748,Scoping,13,"<CLIENT> is seeking strategic guidance to thoughtfully plan for the future state of his organization, particularly as AI and automation begin influencing workforce structure and performance functions. While his company is intentionally conservative in adopting new technologies, he recognizes that efficiency gains will inevitably impact how roles are designed, backfilled, and expanded. Rather than pursuing workforce reductions, <CLIENT> anticipates slowing the creation of new roles and reevaluating how existing positions are structured when attrition occurs. He is looking for support in determining how to responsibly integrate AI into his performance insights teams without compromising organizational stability, culture, or long-term talent development. <CLIENT> is grappling with forward-looking workforce questions: How should performance insights teams evolve as automation increases? How can roles be redesigned to capture efficiency gains while preserving strategic capability? He would benefit from expert guidance in future-state planning and strategic workforce design, including scenario modeling, capability mapping, and thoughtful restructuring frameworks, to ensure his performance insights function remains resilient, competitive, and developmentally sustainable over time.",Executive seeks strategic guidance on AI-driven workforce planning and role redesign while maintaining organizational stability and culture.,Overlap only,2,5,10
00005917,Scoping,10,"Research Brief on topic: Ali is leading an initiative to standardize and enhance how sales representatives prioritize customer outreach. Currently, reps rely on inconsistent, self-directed approaches to determine which HCPs to target. Ali?s team is working to consolidate multiple data sources, such as prescriber script data and engagement metrics, into a unified model that generates a ?next best customer? recommendation list at the territory level. The goal is to improve targeting precision and commercial effectiveness while positioning the solution as an enhancement to existing workflows rather than a disruptive overhaul. Ali would appreciate guidance on how to frame and position this initiative to pharma sales leadership in order to secure buy-in and drive adoption. He is less focused on the technical build of the model and more interested in change management, messaging strategy, and industry best practices for introducing analytics-driven decision support into commercial teams. He would value tailored research insights, examples of how similar initiatives have been positioned successfully, and potentially expert feedback to refine the team?s internal pitch deck ahead of leadership discussions.",Pharmaceutical company building predictive customer targeting model but focusing on change management and positioning strategy rather than technical implementation.,None - IIA better fit,2,5,10
00005901,Scheduling Offered,52,"Mark is currently navigating affiliation-related data governance challenges at <CLIENT> Health, particularly around how data access, stewardship, and decision rights should be managed as organizations come together on more equal footing rather than through a traditional acquisition model. A key concern is preventing uncontrolled data access across entities, especially in sensitive environments, while still enabling appropriate collaboration. Internal leaders are actively establishing access management processes, but the broader governance implications of affiliation remain unfamiliar territory for him. Mark would like practical, experience-based guidance from peers or experts who have managed data governance through mergers or affiliations in highly regulated industries. Specifically, he wants to understand what considerations are often overlooked, how governance structures evolve when no single party has clear authority, and how to influence decisions in ?shared power? models.","Healthcare organization needs data governance strategy guidance for merger/affiliation scenarios in regulated environment, seeking peer expertise.",Overlap only (Data Governance),2,4,8
00005856,Scheduling Offered,111,"Romy is hoping to get support in developing a clear strategy for how <CLIENT> should navigate decisions related to foundational (?bedrock?) systems, specifically SAP?s native AI and LLM capabilities, and how these should fit into their broader analytics and AI roadmap. Right now, <CLIENT> does not have a defined decision-making framework for determining when to rely on out-of-the-box SAP functionality, when to pursue custom transformation efforts, and how to balance embedded capabilities with external solutions or investments. This gap is creating uncertainty around timing, resource allocation, architectural direction, and long-term capability building. As Romy evaluates this landscape, she is particularly interested in establishing objective criteria that can guide these choices, especially as SAP?s positioning and value proposition continues to evolve. She sees strong potential in SAP?s emerging AI messaging but needs structured support in defining what should trigger one approach over another, whether that means adopting embedded tools, extending them, or opting for custom or external solutions.",Enterprise client needs strategic decision framework for SAP AI capabilities vs custom solutions and architectural direction guidance.,Overlap only (Strategy/Assessment),2,4,8
00005790,Pending Expert,55,"Korri is leading AI adoption and transformation at <CLIENT> and is focused on moving the organization beyond tool-specific conversations toward a more holistic, ecosystem-based approach to AI enablement. While adoption of AI tools is increasing, he is intentionally cautious about equating usage with impact. A key challenge he is grappling with is how to define, measure, and communicate meaningful impact from AI, including the need to baseline work prior to AI introduction and account for <CLIENT>nstream effects such as rework, quality, and trust. Korri would like real-world examples that help distinguish perceived productivity gains from actual business value. Korri is interested in learning directly from peers and practitioners who are actively navigating similar transformations. He expressed strong interest in expert-led conversations and fireside chats that surface practical ?battle stories? around AI adoption, change management, and impact measurement. Specifically, he is looking for guidance on designing adoption strategies that empower teams across an AI ecosystem, embedding impact measurement into change management, and understanding how AI-enabled work evolves over time. This support is intended not just to inform strategy, but to help his transformation team align, accelerate learning, and make better decisions as <CLIENT> scales AI responsibly across the organization.","Enterprise seeking AI transformation guidance, impact measurement frameworks, and organizational adoption strategies.",Overlap only (Strategy/Assessment),2,4,8
00005915,Scheduling Offered,35,"Ryan is seeking support and thought partnership on how to approach a five-year strategic plan in a fast-changing analytics environment. He is focused on balancing maintaining existing systems and keeping work in production with evolving the business and enabling future capabilities. Given the decentralized structure of his organization, he is looking for guidance on best practices for long-term planning while remaining adaptable, ensuring that programs continue to deliver value today, and driving forward meaningful change for the enterprise. He wants insight into how other organizations navigate this tension between operational stability and strategic evolution, particularly around program prioritization, planning cadence, and mechanisms for keeping multiple initiatives aligned with enterprise goals. Ryan would appreciate practical thought partnership that can help him refine his approach to sustaining current operations while enabling innovation and growth over the next five years.","Executive needs strategic guidance on five-year analytics planning, balancing operational stability with innovation in decentralized organization.",Overlap only,2,4,8
00005924,Scheduling Offered,23,"<CLIENT> is co-owning an OKR with Kamil to author and deploy updated Google Data Analytics Usage Principles for Schwab Data. The current version (formerly named data placement principles) is over a year old and contains ambiguities (undefined distinctions between operational vs. analytics use cases), gaps in scope, and language that is overly technical. The revised version must clarify definitions, expand coverage where necessary, and, critically, be accessible to both technical and business audiences. <CLIENT> has circulated an initial scope framing to his leadership team and is awaiting alignment before drafting progresses. Support needed includes structured drafting assistance, governance framing, and communication strategy. This may involve reviewing and refining the revised principles, helping clarify definitional boundaries and policy intent, ensuring business-facing readability, and advising on rollout/adoption strategy.",Financial services company needs help updating data analytics usage principles with clearer governance framework and business-accessible language.,Overlap only,2,4,8
00005921,New,34,"Because their platform is a foundational capability rather than a traditional product or service, <CLIENT> is finding it difficult to effectively communicate its value and progress to executive stakeholders. The team struggles with storytelling around the platform journey, articulating the ?art of the possible,? and keeping executives engaged over time. This challenge also ties to trust, both building and sustaining confidence in the platform?s direction and impact. In addition, once capabilities are enabled, there is uncertainty around how to drive adoption and usage within the business, prompting interest in an activation model or dedicated team that can partner with business units, support change management, and educate stakeholders on what the platform enables.","Client needs help with platform communication, executive storytelling, and user adoption strategy for data platform.",Overlap only,2,4,8
00005920,Future,273,"Matt Burton is leading an initiative to explore AI adoption within <CLIENT>'s financial services function and is seeking support in identifying where and how to begin. His goal is to compile a prioritized list of AI use cases by August that aligns with <CLIENT>?s values of ?climbing with care and confidence.? He is particularly interested in understanding which tasks may be automated in the near future to guide both technology investment and workforce planning?ensuring they avoid overhiring in roles likely to be disrupted. Matt is looking for expert thought partnership to help navigate this early-stage effort, ideally someone with deep experience in both financial services and AI strategy. Key areas of focus include use case identification, prioritization frameworks, upskilling opportunities, and responsible scaling of AI.",Financial services company seeking AI strategy development and use case prioritization with workforce planning considerations.,Overlap only (Strategy/Assessment),2,4,8
00005843,Future,171,"<CLIENT> Airlines is actively pursuing an enterprise-wide AI strategy to accelerate the adoption of generative AI and machine learning capabilities across key business domains such as revenue management, cargo, and sales. Yash and his team (Yash and Todd- his boss) are keen to assess their current AI readiness, focusing on identifying gaps in data infrastructure, governance, and organizational processes that could impact AI scalability and operationalization. They are looking for comprehensive support to conduct an AI readiness assessment that evaluates their existing platforms, like Mosaic and Orion, and measures how prepared the organization is to embed AI models into production. This includes understanding the maturity of their data ecosystem, ensuring governance frameworks are AI-compatible, and defining clear roles and ownership for AI products. The goal is to develop a clear roadmap that aligns with their broader data mesh ambitions and cloud strategy, ensuring that AI initiatives can deliver tangible business value.",Major airline seeking comprehensive AI readiness assessment to evaluate data infrastructure and develop implementation roadmap for ML/GenAI across business domains.,Overlap only (AI Strategy/Assessment),2,4,8
00005923,Scheduling Offered,24,"Carol is seeking support around improving the handoff between the Quality Analytics team and the Data Warehouse (EDW) team. QA primarily defines metrics and builds dashboards, while EDW develops and maintains the enterprise data warehouse and supporting datamarts. The core challenge occurs during the translation of metric definitions into technical implementation. Carol shared that code and metric logic often require rework due to inefficiencies, lack of standardization, or misalignment with institutional definitions. Intake processes are minimally formalized (self-rated 2?3/10), EDW is sometimes engaged too late in large efforts, and the teams have differing definitions of ?done,? leading to duplication of effort and post-delivery revisions once dashboards are built. In parallel, Carol?s team has spent the past year designing a ?single source of truth? architecture and building a metrics catalog (currently in Smartsheet) to standardize measure- and metric-level definitions. While nearing rollout, she is concerned the process may be overly complex and could unintentionally create bottlenecks. The organization is also in an RFP process to potentially migrate to a more advanced platform, so she wants to ensure any improvements are future-state compatible. Carol is looking for insight from peer organizations and subject matter experts on how others structure intake, governance, metric definition, and cross-team collaboration to reduce rework and improve translation between analytics and data engineering.","Organization needs to improve analytics-to-data engineering handoffs, standardize metrics definitions, and optimize governance processes.",Overlap only (Data Governance),2,4,8
00005894,Scheduling Offered,63,"In an effort to show <CLIENT> value on the RAN side, we are going to try to support Hanna by providing her with data strategy and data governance resources, as well as potentially the opportunity to meet with an expert to discuss further.",Data strategy and governance advisory support needed for enterprise alignment.,Overlap only,2,3,6
00005792,Scheduling Offered,171,"Romy would appreciate support with developing a clear and actionable enterprise data strategy and roadmap. Currently, data and analytics efforts are fragmented across the organization, resulting in a ""sha<CLIENT> organization"" with limited governance and alignment. She is looking for guidance on how to bring these efforts together under a cohesive strategy and would like to connect with someone who has successfully navigated similar challenges in complex enterprise environments.",Enterprise data strategy development to unify fragmented organizational data efforts.,Overlap only,2,3,6
00005795,Scoping,17,"Tuell's new boss would like to move towards repositioning the central OR & data science team to ?run like a business? rather than operate purely as a shared services cost center. The intent is to function more like an internal professional services organization, with clearer chartering, defined success metrics, formal rules of engagement, stronger visibility/marketing of their value, and potentially standing up a PMO capability within the group. The goal is to avoid becoming order takers, improve capacity control, and better justify resource needs. While Tuell is aligned philosophically, he lacks clarity on what specific roles and structural changes this would require and how quickly leadership expects movement in this direction. His primary open question is how this ?run like a business? model intersects with (or potentially conflicts with) their federated analytics operating model. He is unsure whether the business mindset applies only to the central IT team or to the broader federated analytics community. He wants to ensure the two: federated operating model and business-oriented structure, can coexist and reinforce one another rather than create tension. He is seeking frameworks, examples, and research to better understand how other organizations integrate these approaches and what governance, role design, and performance mechanisms are required to support both simultaneously.",Organization needs frameworks and research to transition analytics team from cost center to business-oriented model while maintaining federated structure.,None - IIA better fit,1,5,5
00005926,Scoping,17,"<CLIENT>ron is focused on establishing a structured approach to measuring and demonstrating the business value of <CLIENT>?s data assets and analytics products. He would appreciate guidance on frameworks and methodologies for linking data initiatives to measurable outcomes, tracking benefit realization, and articulating ROI across varying levels of complexity, from clear use cases like pricing models to broader outputs with more indirect impact. The goal is to embed value tracking into the creation of new assets and ensure consistent accountability for results across teams. He has an interest in research, peer examples, and expert insights that can support operationalizing value measurement, defining metrics, and implementing governance structures that balance central oversight with distributed adoption. Ultimately, he is looking to systematically capture and communicate the benefits of data initiatives, and operationalize ROI as a core part of their analytics workflow.",Organization needs frameworks for measuring and demonstrating ROI of data assets and analytics products with structured value tracking methodology.,None - IIA better fit,1,5,5
00005857,Scoping,16,"Andrea and her team are proactively exploring Copilot for Power BI as part of their Q2 priorities, with a focus on both internal productivity and stakeholder enablement. She is interested in how Copilot can support her team with code generation, while also understanding how business stakeholders may begin leveraging Copilot independently. A key objective is to stay ahead of stakeholder usage patterns to remain proactive rather than reactive, preserving trust in the data and ensuring outputs remain accurate and aligned with governance standards. Andrea would like peer success stories, expert perspectives, and practical guidance on pitfalls to avoid, particularly around data quality risks, AI readiness, and the potential for stakeholders to receive inaccurate insights if underlying data is not fully validated. She would value examples of organizations effectively implementing Copilot for BI, lessons learned, and recommended guardrails. Timing-wise, they intend to further explore this in Q2 but have not yet progressed deeply, making this an opportunity to provide thought leadership, reference accounts, or expert connections to help shape their approach.",Organization exploring Copilot for Power BI implementation seeking peer insights and governance best practices for stakeholder enablement.,None - IIA better fit,1,5,5
00005772,Pending Expert,14,"Email from Jared: Olivia, This is a somewhat high level request, but I?m getting feedback from Senior VPs that we are moving ?too slowly? on AI. I?d like to find a way to benchmark against some other external companies to provide facts that either support that or show it to be false. I don?t expect to use other company names in my presentation. Do you have someone that can give me metrics to see where we are in terms of machine learning, agents, ai foundations, data foundations, etc? For instance ? 30% of companies have already deployed 1 AI Agent in their environment. We would be part of that 30% so above average. It?s best if we can compare ourselves to other manufacturing companies in the U.S.",Manufacturing company leader needs external benchmarking data on AI maturity and deployment rates to validate or counter executive perception of slow AI progress.,None - IIA better fit,1,5,5
00005941,Scheduling Offered,14,"Eric is working to shift governance from a reactive, compliance-driven function to a proactive, embedded capability within the business. Currently, he must chase teams for visibility into projects rather than being engaged upstream. He is seeking support in driving enterprise change management so governance becomes a shared responsibility, integrated into workflows, and viewed as a value-enabling partner, not ?red tape.? He also wants to better articulate and demonstrate governance?s business value to leadership.","Governance leader needs change management support to transform from reactive compliance to proactive, embedded business capability.",None - IIA better fit,1,5,5
00005936,Pending Expert,11,"Email from <CLIENT>: Hi Olivia ? <CLIENT> was a great call! Thank you for setting that up. I was reviewing notes from Symposium, and recalled Tom Thomas?s presentation. I w<CLIENT>ed if he would be open to an inquiry. I?d like to further discuss how they got started with their dealer data tool. I was also doing some additional research on line and see they are using the vendor Podium for leads coming in through websites and calls. We are looking at doing work with them too, so thought maybe those two topics would be beneficial. Let me know if he?s open to that, and next steps! Thanks -",Client interested in peer learning about dealer data tools and lead management vendor implementation.,None - IIA better fit,1,5,5
